# omega0 omegab hubble scalar_amp ns w0 wa mnu Neff alphas 
2.737879e-01 4.814141e-02 6.465657e-01 2.487879e-09 9.871212e-01 -1.020202e+00 -2.702020e-01 1.386364e-01 3.329966e+00 2.424242e-03 
3.092424e-01 4.595960e-02 7.088552e-01 1.787542e-09 9.810606e-01 -1.121212e+00 4.570707e-01 6.803030e-02 2.934007e+00 1.434343e-02 
3.201515e-01 5.022222e-02 6.977441e-01 2.011111e-09 9.554714e-01 -8.888889e-01 -6.439394e-01 1.077273e-01 2.311785e+00 -2.808081e-02 
2.710606e-01 4.589899e-02 6.761953e-01 1.741751e-09 9.758418e-01 -1.026263e+00 -8.409091e-01 9.015152e-02 3.023569e+00 2.040404e-02 
3.113636e-01 4.800000e-02 7.344444e-01 2.196970e-09 9.627104e-01 -8.020202e-01 4.621212e-01 8.893939e-02 3.447811e+00 -1.656566e-02 
3.413636e-01 4.947475e-02 6.664310e-01 2.339731e-09 9.926768e-01 -1.252525e+00 -3.156566e-01 1.316667e-01 2.552189e+00 -2.020202e-03 
2.746970e-01 4.519192e-02 6.994276e-01 2.485185e-09 9.756734e-01 -1.066667e+00 -3.409091e-01 1.265152e-01 2.665320e+00 -2.161616e-02 
2.974242e-01 4.894949e-02 6.681145e-01 1.981481e-09 9.893098e-01 -1.123232e+00 -7.196970e-01 7.590909e-02 3.617508e+00 2.727273e-02 
3.468182e-01 4.907071e-02 7.176094e-01 1.838721e-09 9.556397e-01 -8.767677e-01 4.116162e-01 1.065152e-01 2.778451e+00 5.858586e-03 
2.671212e-01 5.014141e-02 6.506061e-01 2.038047e-09 9.684343e-01 -8.727273e-01 -6.893939e-01 1.201515e-01 3.664646e+00 9.898990e-03 
3.083333e-01 4.539394e-02 7.112121e-01 1.846801e-09 9.997475e-01 -1.050505e+00 1.767677e-02 8.772727e-02 3.070707e+00 -2.505051e-02 
3.477273e-01 4.860606e-02 6.987542e-01 2.248148e-09 9.519360e-01 -1.195960e+00 -1.489899e-01 1.056061e-01 2.373064e+00 1.898990e-02 
2.683333e-01 4.882828e-02 6.623906e-01 1.798316e-09 9.748316e-01 -1.080808e+00 7.323232e-02 1.468182e-01 2.698316e+00 -2.464646e-02 
2.998485e-01 4.561616e-02 7.068350e-01 2.221212e-09 9.945286e-01 -1.222222e+00 -9.974747e-01 9.833333e-02 2.806734e+00 1.878788e-02 
